ORIGGPCD;ORIGGPFR;ORIGFDCD;ORIGFDNM;Energie, Règlement UE N° 1169/2011 (kJ/100g);Energie, Règlement UE N° 1169/2011 (kcal/100g);Energie, N x facteur Jones, avec fibres  (kJ/100g);Energie, N x facteur Jones, avec fibres  (kcal/100g);Eau (g/100g);Protéines (g/100g);Protéines brutes, N x 6.25 (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Amidon (g/100g);Fibres alimentaires (g/100g);Polyols totaux (g/100g);Cendres (g/100g);Alcool (g/100g);Acides organiques (g/100g);AG saturés (g/100g);AG monoinsaturés (g/100g);AG polyinsaturés (g/100g);AG 4:0, butyrique (g/100g);AG 6:0, caproïque (g/100g);AG 8:0, caprylique (g/100g);AG 10:0, caprique (g/100g);AG 12:0, laurique (g/100g);AG 14:0, myristique (g/100g);AG 16:0, palmitique (g/100g);AG 18:0, stéarique (g/100g);AG 18:1 9c (n-9), oléique (g/100g);AG 18:2 9c,12c (n-6), linoléique (g/100g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g);Cholestérol (mg/100g);Sel chlorure de sodium (g/100g);Calcium (mg/100g);Chlorure (mg/100g);Cuivre (mg/100g);Fer (mg/100g);Iode (µg/100g);Magnésium (mg/100g);Manganèse (mg/100g);Phosphore (mg/100g);Potassium (mg/100g);Sélénium (µg/100g);Sodium (mg/100g);Zinc (mg/100g);Rétinol (µg/100g);Beta-Carotène (µg/100g);Vitamine D (µg/100g);Vitamine E (mg/100g);Vitamine K1 (µg/100g);Vitamine K2 (µg/100g);Vitamine C (mg/100g);Vitamine B1 ou Thiamine (mg/100g);Vitamine B2 ou Riboflavine (mg/100g);Vitamine B3 ou PP ou Niacine (mg/100g);Vitamine B5 ou Acide pantothénique (mg/100g);Vitamine B6 (mg/100g);Vitamine B9 ou Folates totaux (µg/100g);Vitamine B12 (µg/100g)
11;Abats;40002;Cervelle, agneau, crue; 503; 121; 503; 121;79.2;10.4;10.4;0.49;8.58;-;-;0;0;1.33;0;0;2.19;1.55;0.88;-;-;-;-;0;0.04;1.06;1.07;-;-;-;-;0;0.49;1350;0.28;   9;-;0.24;1.75;-;  12;               0.044; 270; 296;-; 112;1.17;0;-;-;-;-;-;  16;0.13; 0.3; 3.9;0.92;0.29;   3;11.3
11;Abats;40052;Coeur, boeuf, cru; 423; 100; 423; 100;  79;18.5;18.5;0;2.95;0;0;0;0; 1.1;0;0;0.74;0.56;0.61;0;0;0;0;0;               0.027; 0.3;0.35; 0.4;0.27;               0.026;-;0;0; 137; 0.2;5.48;-;0.35;5.14; 1.9;  19;               0.034; 213; 264;23.5;81.7;1.49;0;0; 0.9;0.21;0;-;   2;0.29;0.83;6.78;2.15;0.11;11.5;8.44
11;Abats;40102;Foie, agneau, cru; 575; 137; 575; 137;71.2;21.8;21.8;0.16;5.45;0.16;0;0;0;1.44;0;0;1.45;0.85;1.44;-;-;-;-;0;               0.019;0.45;0.77;0.54;0.36;               0.029;0.42;-;-; 371;0.14;   7;-;6.98;6.43;   3;  19;0.18; 364; 313;48.7;57.4;   4;54.4;  72;0.45;0.69;   1;-;   4;0.34;3.63;  18;6.13;0.37; 230;95.8
11;Abats;40700;Gésier, poulet, cru; 437; 104; 437; 104;77.8;17.3;17.3; 0.3;3.75;0;0;0;0;0.93;0;0;1.12; 0.9;0.62;0;0;0;0;0;               0.013;0.61;0.29; 0.9;0.45;              0.0062;0.16;0;0; 240;0.18;  11;-;0.12;2.49; 1.2;  14;               0.055; 148; 213;-;73.3;2.72;  42;0; 0.6;0.27;0;-; 3.7;               0.059;0.14;4.09;0.63;0.12;21.5;0.91
11;Abats;40201;Langue, veau, cuite; 995; 239; 995; 239;60.5;  21;  21;0.55;  17;-;0;0;0;0.91;0;0;4.83;6.86;0.63;-;-;-;-;-;-;-;-;-;-;-;-;-;-; 162;0.16;   9;-;0.21; 2.6;-;  18;               0.047; 166; 162;-;  64; 3.8;0;-;-; 1.1;-;-;   6;0.11;0.35; 2.6; 1.1;0.16;   9; 6.8
11;Abats;40302;Ris, agneau, cru; 548; 131; 548; 131;74.6;14.6;14.6;2.35;7.04;0;-;0;0; 1.4;0;0;3.12;2.97; 0.4;-;-;-;-;               0.044;0.31;1.36;1.41;2.17;0.12;0.13;               0.077;-;-; 260;0.18; 5.5;-;0.13;1.64; 1.9;13.6;               0.061; 400; 380;   6;70.3;1.92;0;-;   1;0.04;-;-;  38;               0.063;0.21;3.95;   1;0.05;  13; 4.6
11;Abats;40402;Rognon, boeuf, cru; 389;92.3; 389;92.3;79.8;17.1;17.1;0;2.65;0;0;0;0;1.22;0;0; 0.5; 0.3;0.67;0;0;0;0;0;               0.011;0.23;0.21;0.21;0.22;               0.013;               0.056;0;0; 411;0.42;11.2;-;0.43;7.04; 5.6;  16;0.11; 243; 236; 118; 169;1.52; 204;0;1.05;0.21;0;-;12.2; 0.4;2.37;7.91;3.91;0.36;  89;21.1
11;Abats;40600;Sang, boeuf, cru; 349;82.1; 349;82.1;80.5;19.5;19.5; 0.8;0.12; 0.8;0;0;0;0.77;0;0;0.04;0.05;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-; 190; 0.6;   4;-;-;46.5;-;-;-;14.5; 107;-; 240; 0.2;   5;  93; 0.1; 0.4;-;-;-;               0.055;               0.065;0.85;-;0;   7;-
11;Abats;40502;Tripes, boeuf, crues; 342;81.5; 342;81.5;84.2;12.1;12.1;0;3.69;0;0;0;0;0.55;0;0;1.29;1.53;0.18;0;0;0;0;0;0.07;0.64;0.46;-;-;               0.007;-;0;0; 122;0.24;  69;-;0.07;0.59;-;  13;               0.085;  64;  67;-;  97;1.42;0;0;0;0.09;0;-;   3;0;               0.064;0.88;0.23;               0.014;   5;1.39
28.2;Aromates frais;11000;Ail, cru;-;-;-;-;64.3;5.81;5.81;21.2;0.34;1.43;13.4; 4.7;0;1.41;0;-;               0.075;               0.011;0.25;0;0;0;               0.002;0;< 0.00027;               0.062;              0.0039;               0.011;0.14;               0.013;0;0;0;0;               0.098;80.5;  61; 0.3; 1.6; 1.9;  25;1.67; 157; 401;   2;  39;1.16;0;   5;0;               0.045; 1.7;-;18.1; 0.2;0.11; 0.7; 0.6;1.99;51.3;0
28.2;Aromates frais;11093;Aneth, frais; 202;48.2; 202;48.2;  86;3.93;3.93; 3.9; 1.1; 1.2;-; 3.5;0; 2.5;0;traces;0.27;0.54;               0.064;-;-;-;-;               0.001;               0.001;               0.046;               0.008;0.54;               0.056;              0.0087;-;-;-;0;0.15; 202;-;0.22; 5.5; 3.9;  28; 2.7;51.9; 647; 2.7;  27; 1.8;0;-;0; 1.7;-;-;  70;0.19;0.43; 2.4; 0.3; 0.3; 116;0
28.2;Aromates frais;11002;Cerfeuil, frais; 159;37.9; 159;37.9;89.2;3.21;3.21;3.63; 0.6; 0.6;-;2.55;0; 2.1;0;traces;0.22;              0.0097;0.25;-;-;-;-;-;-;               0.075;               0.003;-;0.08;0.17;0;-;-;0;               0.038; 273;-;               0.073; 1.6; 2.8;  34; 1.7;40.6; 597; 0.1;  10; 1.1;0;traces;traces; 2.9;-;-;  37;0.13;0.34; 1.5; 0.3;               0.026; 220;0
28.2;Aromates frais;11003;Ciboule ou Ciboulette, fraîche; 125;29.9; 125;29.9;90.9;2.62;2.62; 2.1;0.52;1.75;0;3.19;0;0.85;0;traces;0.15;               0.042; 0.2;0;0;0;0;0;              0.0093;               0.059;              0.0055;               0.017;               0.083;0.12;0;0;0;0;               0.026;92.8;-; 0.1;1.31; 2.2;23.8;0.85;46.3; 275;0.35;11.5;0.45;0;1610;0;0.99; 260;-;39.7;               0.065;0.12;0.57;0.19;0.12;78.3;0
28.2;Aromates frais;11092;Estragon, frais; 184;  44; 184;  44;-; 3.8; 3.8; 4.1;traces; 1.2;-; 6.2;0;               0.025;0;traces; 0.6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;               0.025;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
28.2;Aromates frais;11016;Raifort, cru;-;-;-;-;73.8; 7.5; 7.5;  13; 0.7;-;-; 7.5;0; 1.8;0;-;0.11;               0.067;0.38;-;-;-;-;-;-; 0.1;               0.009;               0.062;0.12;0.27;-;-;-;0;               0.015;93.7;-;0.23; 1.3; 0.9;  25;0.46;80.5; 587; 0.2;   6; 1.4;0;  11;0;0;-;-; 152;0.14;0.11; 0.6;-;0.18;-;0
28.1;Aromates séchés;11023;Ail séché, poudre;1460; 344;1460; 344;6.48;16.7;16.7;62.8;0.77;2.43;-;9.45;0;3.42;0;traces; 0.2;               0.067;0.29;0;0;0;              0.0024;0;               0.012;               0.097;               0.084;               0.062;0.27;               0.016;-;0;0;0;0.11;79.5;-;0.53; 4.2;-;67.5;0.98; 416;1150;-;  43;2.81;0;0;0;0.67; 0.4;-;2.39;0.45;0.15;0.74;0.74;1.65;  47;0
28.1;Aromates séchés;11032;Basilic, séché;1010; 244;1010; 244;10.4;  23;  23;10.1;4.07;1.71;-;37.7;0;14.9;0;traces;2.16;1.24; 0.5;0;0;0;0;0;               0.046;1.04;1.08;1.07;-; 0.3;-;0;0;0;0.19;2240;-; 2.1;89.8;-; 711; 9.8; 274;2630;-;  76; 7.1;0; 378;0;10.7;1710;-; 0.8;0.08; 1.2; 4.9;0.84;1.34; 310;0
28.1;Aromates séchés;11060;Herbes de Provence, séchées;1170; 283;1170; 283; 7.1;11.5;11.5;  23; 7.2;18.5;   2;40.1;0;  11;0;traces;1.88;0.53;2.86;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;               0.088;1860;-;1.06;69.8;traces; 304; 5.2; 297;1970; 4.4;  35;5.47;0;-;0;1.69;-;-;  54;0.33;0.34;6.03;0;1.58; 274;0
28.1;Aromates séchés;11034;Marjolaine, séchée;1140; 276;1140; 276;7.64;12.7;12.7;20.3;7.04;4.09;-;40.3;0;12.1;0;traces;0.53;0.94;4.41;0;0;0;0;0;0;0.29;0.24;-;-;-;-;0;0;0;0.19;1990;-;1.13;82.7;-; 346;5.43; 306;1520;-;  77; 3.6;0;4810;0;1.69; 622;-;51.4;0.29;0.32;4.12;-;1.19; 274;0
28.1;Aromates séchés;51500;Meloukhia, feuilles de corète séchées, en poudre; 994; 239; 994; 239; 8.4;  23;  23;12.7; 1.8;-; 0.6;  40;0;14.1;0;traces;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0.17;2000; 963; 1.6;  87; 321; 609;12.5; 307;3580;< 5;67.9;   3;-;2360;-; 2.8;-;-;-;0.09;0.36; 2.6; 2.4;0.55;28.3;-
28.1;Aromates séchés;11029;Menthe, séchée;1180; 283;1180; 283;11.3;19.9;19.9;22.2;6.03;-;-;29.8;0;10.7;0;traces;1.58;0.21;3.26;-;-;-;-;-;               0.037;1.13;0.16;-;-;-;-;-;-;0;0.86;1490;-;1.54;87.5;-; 602;11.5; 276;1920;-; 344;2.41;0;-;0;-;-;-;0;0.29;1.42;6.56; 1.4;2.58; 530;0
28.1;Aromates séchés;11035;Origan, séché;1100; 265;1100; 265;9.93;   9;   9;26.4;4.28;4.09;-;42.5;0;7.87;0;traces;1.55;0.72;1.37;0;0;0;               0.004;0.25;               0.004;0.79;0.51;0.71;-;0.62;-;0;0;0;               0.063;1600;-;0.63;36.8;-; 270;4.99; 148;1260;-;  25;2.69;0;1010;0;18.3; 622;-; 2.3;0.18;0.53;4.64;0.92;1.04; 237;0
28.1;Aromates séchés;11024;Persil, séché;1210; 291;1210; 291;3.95;  29;  29;16.8;5.34;7.27;-;29.7;0;15.2;0;traces;1.38;0.76;3.12;0;0;0;0;0;0;1.22;               0.058;0.76;1.25;1.86;-;0;0;0;1.05; 658;-;0.62;  38;-; 386;5.57; 492;4490;-; 422;5.78;0;1150;0;8.96;1360;-; 137;0.62;2.32;10.2;1.79;1.14; 187;0
28.1;Aromates séchés;11036;Romarin, séché;1350; 328;1350; 328;9.31;4.88;4.88;21.5;15.2;-;-;42.6;0;6.53;0;traces;7.37;3.01;2.34;0;0;0;0.05;               0.037;0.32;4.99; 0.6;-;-;-;-;0;0;0;0.13;1280;-;0.55;29.3;-; 220;1.87;  70; 955;-;  50;3.23;0;-;0;-;-;-;61.2;0.51;0.43;   1;-;1.74; 307;0
28.1;Aromates séchés;11062;Sarriette, séchée;1090; 264;1090; 264;   9;6.73;6.73;  23;5.91;-;-;45.7;0;9.63;0;traces;3.26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0.06;2130;-;0.85;37.9;-; 377; 6.1; 140;1050;-;  24; 4.3;0;-;0;-;-;-;  50;0.37;-;4.08;-;1.81;-;0
